Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-04-01,China,CHN,82724,93,3327,6,Local transmission,0
2020-04-01,Republic of Korea,KOR,9976,89,169,4,Local transmission,0
2020-04-01,Australia,AUS,4976,269,21,1,Local transmission,0
2020-04-01,Malaysia,MYS,2908,142,45,2,Local transmission,0
2020-04-01,Japan,JPN,2384,206,57,0,Local transmission,0
2020-04-01,Philippines,PHL,2311,227,96,8,Local transmission,0
2020-04-01,Singapore,SGP,1000,74,3,0,Local transmission,0
2020-04-01,New Zealand,NZL,723,76,1,0,Local transmission,0
2020-04-01,Viet Nam,VNM,218,11,0,0,Local transmission,0
2020-04-01,Brunei Darussalam,BRN,131,2,1,0,Local transmission,0
2020-04-01,Cambodia,KHM,109,0,0,0,Local transmission,1
2020-04-01,Mongolia,MNG,14,2,0,0,Imported cases only,0
2020-04-01,Lao People's Democratic Republic,LAO,10,1,0,0,Local transmission,0
2020-04-01,Fiji,FJI,5,0,0,0,Local transmission,7
2020-04-01,Papua New Guinea,PNG,1,0,0,0,Imported cases only,12
2020-04-01,Guam,GUM,77,8,3,1,Local transmission,0
2020-04-01,French Polynesia,PYF,37,0,0,0,Local transmission,1
2020-04-01,New Caledonia,NCL,16,0,0,0,Local transmission,1
2020-04-01,Northern Mariana Islands (Commonwealth of the),MNP,6,4,0,0,Local transmission,0
2020-04-01,Italy,ITA,110574,4782,13157,727,Local transmission,0
2020-04-01,Spain,ESP,102136,7719,9053,864,Local transmission,0
2020-04-01,Germany,DEU,73522,6156,872,140,Local transmission,0
2020-04-01,France,FRA,56261,4784,4019,505,Local transmission,0
2020-04-01,The United Kingdom,GBR,29478,4324,2532,743,Local transmission,0
2020-04-01,Switzerland,CHE,17070,962,378,5,Local transmission,0
2020-04-01,Turkey,TUR,15679,2148,277,63,Local transmission,0
2020-04-01,Belgium,BEL,13964,1189,828,123,Local transmission,0
2020-04-01,Netherlands,NLD,13614,1019,1173,134,Local transmission,0
2020-04-01,Austria,AUT,10711,529,146,18,Local transmission,0
2020-04-01,Portugal,PRT,8251,808,187,27,Local transmission,0
2020-04-01,Israel,ISR,5591,462,21,0,Local transmission,0
2020-04-01,Sweden,SWE,4947,512,239,59,Local transmission,0
2020-04-01,Norway,NOR,4665,218,32,4,Local transmission,0
2020-04-01,Czechia,CZE,3589,281,39,8,Local transmission,0
2020-04-01,Ireland,IRL,3447,212,85,14,Local transmission,0
2020-04-01,Denmark,DNK,3107,247,104,14,Local transmission,0
2020-04-01,Russian Federation,RUS,2777,440,24,7,Local transmission,0
2020-04-01,Poland,POL,2554,243,43,10,Local transmission,0
2020-04-01,Romania,ROU,2460,215,85,16,Local transmission,0
2020-04-01,Luxembourg,LUX,2319,141,29,6,Local transmission,0
2020-04-01,Finland,FIN,1446,62,17,0,Local transmission,0
2020-04-01,Greece,GRC,1375,61,50,1,Local transmission,0
2020-04-01,Iceland,ISL,1220,85,2,0,Local transmission,0
2020-04-01,Serbia,SRB,1060,160,13,0,Local transmission,0
2020-04-01,Croatia,HRV,963,96,6,0,Local transmission,0
2020-04-01,Slovenia,SVN,841,27,15,2,Local transmission,0
2020-04-01,Ukraine,UKR,804,135,20,3,Local transmission,0
2020-04-01,Estonia,EST,779,34,5,1,Local transmission,0
2020-04-01,Lithuania,LTU,581,48,8,1,Local transmission,0
2020-04-01,Armenia,ARM,571,39,3,0,Local transmission,0
2020-04-01,Hungary,HUN,525,33,20,4,Local transmission,0
2020-04-01,Bosnia and Herzegovina,BIH,464,51,13,1,Local transmission,0
2020-04-01,Latvia,LVA,446,48,0,0,Local transmission,0
2020-04-01,Republic of Moldova,MDA,423,70,5,2,Local transmission,0
2020-04-01,Bulgaria,BGR,422,23,10,2,Local transmission,0
2020-04-01,Slovakia,SVK,400,37,0,0,Local transmission,0
2020-04-01,Andorra,AND,396,20,13,1,Local transmission,0
2020-04-01,Kazakhstan,KAZ,386,38,3,1,Local transmission,0
