Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-04-02,China,CHN,82802,78,3331,4,Local transmission,0
2020-04-02,Republic of Korea,KOR,10062,86,174,5,Local transmission,0
2020-04-02,Australia,AUS,5224,248,23,2,Local transmission,0
2020-04-02,Malaysia,MYS,3116,208,50,5,Local transmission,0
2020-04-02,Philippines,PHL,2633,322,107,11,Local transmission,0
2020-04-02,Japan,JPN,2617,233,65,8,Local transmission,0
2020-04-02,Singapore,SGP,1049,49,4,1,Local transmission,0
2020-04-02,New Zealand,NZL,774,51,1,0,Local transmission,0
2020-04-02,Viet Nam,VNM,233,15,0,0,Local transmission,0
2020-04-02,Brunei Darussalam,BRN,133,2,1,0,Local transmission,0
2020-04-02,Cambodia,KHM,110,1,0,0,Local transmission,0
2020-04-02,French Polynesia,PYF,37,0,0,0,Local transmission,2
2020-04-02,Mongolia,MNG,14,0,0,0,Imported cases only,1
2020-04-02,Lao People's Democratic Republic,LAO,10,0,0,0,Local transmission,1
2020-04-02,Fiji,FJI,7,2,0,0,Local transmission,0
2020-04-02,Papua New Guinea,PNG,1,0,0,0,Imported cases only,13
2020-04-02,Guam,GUM,82,5,3,0,Local transmission,0
2020-04-02,New Caledonia,NCL,18,2,0,0,Local transmission,0
2020-04-02,Northern Mariana Islands (Commonwealth of the),MNP,8,2,1,1,Local transmission,0
2020-04-02,Italy,ITA,115242,4668,13917,760,Local transmission,0
2020-04-02,Spain,ESP,110238,8102,10003,950,Local transmission,0
2020-04-02,Germany,DEU,79696,6174,1017,145,Local transmission,0
2020-04-02,France,FRA,58327,2066,4490,471,Local transmission,0
2020-04-02,The United Kingdom,GBR,33722,4244,2921,389,Local transmission,0
2020-04-02,Switzerland,CHE,18844,1774,536,158,Local transmission,0
2020-04-02,Turkey,TUR,18135,2456,356,79,Local transmission,0
2020-04-02,Belgium,BEL,15348,1384,1011,183,Local transmission,0
2020-04-02,Netherlands,NLD,14697,1083,1339,166,Local transmission,0
2020-04-02,Austria,AUT,11129,418,158,12,Local transmission,0
2020-04-02,Portugal,PRT,9034,783,209,22,Local transmission,0
2020-04-02,Israel,ISR,6211,620,29,8,Local transmission,0
2020-04-02,Sweden,SWE,5466,519,282,43,Local transmission,0
2020-04-02,Norway,NOR,4935,270,42,10,Local transmission,0
2020-04-02,Czechia,CZE,3858,269,44,5,Local transmission,0
2020-04-02,Ireland,IRL,3849,402,98,13,Local transmission,0
2020-04-02,Russian Federation,RUS,3548,771,30,6,Local transmission,0
2020-04-02,Denmark,DNK,3386,279,123,19,Local transmission,0
2020-04-02,Poland,POL,2946,392,57,14,Local transmission,0
2020-04-02,Romania,ROU,2738,278,94,9,Local transmission,0
2020-04-02,Luxembourg,LUX,2487,168,30,1,Local transmission,0
2020-04-02,Finland,FIN,1518,72,19,2,Local transmission,0
2020-04-02,Greece,GRC,1514,139,53,3,Local transmission,0
2020-04-02,Iceland,ISL,1319,99,4,2,Local transmission,0
2020-04-02,Serbia,SRB,1171,111,13,0,Local transmission,0
2020-04-02,Croatia,HRV,1011,48,7,1,Local transmission,0
2020-04-02,Ukraine,UKR,987,183,23,3,Local transmission,0
2020-04-02,Republic of Moldova,MDA,591,168,8,3,Local transmission,0
2020-04-02,Slovenia,SVN,897,56,16,1,Local transmission,0
2020-04-02,Estonia,EST,858,79,11,6,Local transmission,0
2020-04-02,Lithuania,LTU,649,68,9,1,Local transmission,0
2020-04-02,Armenia,ARM,640,69,4,1,Local transmission,0
2020-04-02,Hungary,HUN,585,60,21,1,Local transmission,0
2020-04-02,Bosnia and Herzegovina,BIH,521,57,16,3,Local transmission,0
2020-04-02,Latvia,LVA,458,12,0,0,Local transmission,0
2020-04-02,Bulgaria,BGR,457,35,10,0,Local transmission,0
2020-04-02,Kazakhstan,KAZ,435,49,3,0,Local transmission,0
2020-04-02,Andorra,AND,429,33,15,2,Local transmission,0
2020-04-02,Slovakia,SVK,426,26,0,0,Local transmission,0
2020-04-02,Azerbaijan,AZE,400,41,5,0,Local transmission,0
2020-04-02,North Macedonia,MKD,384,30,11,0,Local transmission,0
2020-04-02,Cyprus,CYP,356,36,9,0,Local transmission,0
2020-04-02,Albania,ALB,277,0,16,1,Local transmission,1
2020-04-02,Belarus,BLR,254,62,4,2,Local transmission,0
2020-04-02,San Marino,SMR,245,9,30,2,Local transmission,0
2020-04-02,Uzbekistan,UZB,221,31,2,0,Local transmission,0
2020-04-02,Malta,MLT,195,7,0,0,Local transmission,0
2020-04-02,Georgia,GEO,148,27,0,0,Local transmission,0
2020-04-02,Montenegro,MNE,140,20,2,0,Local transmission,0
2020-04-02,Kyrgyzstan,KGZ,130,15,1,1,Local transmission,0
2020-04-02,Liechtenstein,LIE,75,3,0,0,Under investigation,0
2020-04-02,Monaco,MCO,37,0,0,0,Local transmission,2
2020-04-02,Holy See,VAT,7,1,0,0,Under investigation,0
2020-04-02,Faroe Islands,FRO,177,4,0,0,Local transmission,0
2020-04-02,Kosovo,XKX,126,1,1,0,Local transmission,0
2020-04-02,Gibraltar,GIB,81,12,0,0,Local transmission,0
2020-04-02,Jersey,JEY,81,0,2,0,Local transmission,1
2020-04-02,Guernsey,GGY,91,13,1,0,Local transmission,0
2020-04-02,Isle of Man,IMN,71,6,1,1,Local transmission,0
2020-04-02,Greenland,GRL,10,0,0,0,Under investigation,5
2020-04-02,India,IND,1965,329,50,12,Local transmission,0
2020-04-02,Thailand,THA,1875,104,15,3,Local transmission,0
2020-04-02,Indonesia,IDN,1790,113,170,13,Local transmission,0
2020-04-02,Sri Lanka,LKA,148,5,3,1,Local transmission,0
2020-04-02,Bangladesh,BGD,56,2,6,0,Local transmission,0
2020-04-02,Maldives,MDV,19,1,0,0,Local transmission,0
2020-04-02,Myanmar,MMR,16,1,1,0,Local transmission,0
2020-04-02,Nepal,NPL,6,1,0,0,Imported cases only,0
2020-04-02,Bhutan,BTN,5,1,0,0,Local transmission,0
2020-04-02,Timor Leste,TLS,1,0,0,0,Imported cases only,13
2020-04-02,Iran (Islamic Republic of),IRN,50468,2875,3160,124,Local transmission,0
2020-04-02,Pakistan,PAK,2450,159,35,4,Local transmission,0
2020-04-02,Saudi Arabia,SAU,1885,165,21,5,Local transmission,0
2020-04-02,United Arab Emirates,ARE,1024,210,8,0,Local transmission,0
2020-04-02,Qatar,QAT,949,114,3,1,Local transmission,0
2020-04-02,Egypt,EGY,865,86,58,6,Local transmission,0
2020-04-02,Iraq,IRQ,772,44,54,2,Local transmission,0
2020-04-02,Morocco,MAR,735,59,47,8,Local transmission,0
2020-04-02,Bahrain,BHR,643,74,4,0,Local transmission,0
2020-04-02,Lebanon,LBN,508,29,17,5,Local transmission,0
