Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-04-30,South Africa,ZAF,5647,297,103,0,Community transmission,0
2020-04-30,Algeria,DZA,4006,158,450,6,Community transmission,0
2020-04-30,Ghana,GHA,2074,403,17,1,Clusters of cases,0
2020-04-30,Nigeria,NGA,1932,400,58,14,Community transmission,0
2020-04-30,Cameroon,CMR,1832,26,61,2,Clusters of cases,0
2020-04-30,Guinea,GIN,1495,144,7,0,Community transmission,0
2020-04-30,Cote d'Ivoire,CIV,1275,37,14,0,Clusters of cases,0
2020-04-30,Senegal,SEN,933,51,9,0,Clusters of cases,0
2020-04-30,Niger,NER,719,6,32,0,Clusters of cases,0
2020-04-30,Burkina Faso,BFA,645,7,43,1,Community transmission,0
2020-04-30,Democratic Republic of the Congo,COD,572,72,31,0,Clusters of cases,0
2020-04-30,Mali,MLI,490,8,26,1,Clusters of cases,0
2020-04-30,United Republic of Tanzania,TZA,480,0,17,1,Clusters of cases,1
2020-04-30,Kenya,KEN,396,12,17,2,Clusters of cases,0
2020-04-30,Mauritius,MUS,332,0,10,0,Community transmission,4
2020-04-30,Equatorial Guinea,GNQ,315,0,2,1,Clusters of cases,2
2020-04-30,Gabon,GAB,276,0,3,0,Clusters of cases,1
2020-04-30,Rwanda,RWA,243,18,0,0,Clusters of cases,0
2020-04-30,Congo,COG,220,0,9,0,Clusters of cases,1
2020-04-30,Guinea-Bissau,GNB,201,124,1,0,Sporadic cases,0
2020-04-30,Liberia,LBR,141,0,16,0,Clusters of cases,2
2020-04-30,Madagascar,MDG,132,4,0,0,Clusters of cases,0
2020-04-30,Ethiopia,ETH,131,1,3,0,Clusters of cases,0
2020-04-30,Sierra Leone,SLE,124,8,7,2,Clusters of cases,0
2020-04-30,Cabo Verde,CPV,121,8,1,0,Sporadic cases,0
2020-04-30,Togo,TGO,116,7,9,2,Clusters of cases,0
2020-04-30,Zambia,ZMB,106,9,3,0,Sporadic cases,0
2020-04-30,Eswatini,SWZ,100,9,1,0,Sporadic cases,0
2020-04-30,Benin,BEN,84,15,2,0,Sporadic cases,0
2020-04-30,Uganda,UGA,81,2,0,0,Sporadic cases,0
2020-04-30,Mozambique,MOZ,76,0,0,0,Sporadic cases,4
2020-04-30,Chad,TCD,73,21,3,1,Sporadic cases,0
2020-04-30,Central African Republic,CAF,64,14,0,0,Sporadic cases,0
2020-04-30,Eritrea,ERI,39,0,0,0,Sporadic cases,12
2020-04-30,Malawi,MWI,37,1,3,0,Sporadic cases,0
2020-04-30,South Sudan,SSD,35,1,0,0,Sporadic cases,0
2020-04-30,Zimbabwe,ZWE,32,0,4,0,Sporadic cases,2
2020-04-30,Angola,AGO,27,0,2,0,Sporadic cases,3
2020-04-30,Botswana,BWA,23,0,1,0,Sporadic cases,2
