Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-05-07,South Africa,ZAF,8232,424,161,8,Community transmission,0
2020-05-07,Algeria,DZA,5182,185,483,7,Community transmission,0
2020-05-07,Nigeria,NGA,3526,381,107,4,Community transmission,0
2020-05-07,Ghana,GHA,3091,372,18,0,Clusters of cases,0
2020-05-07,Cameroon,CMR,2265,0,108,0,Clusters of cases,2
2020-05-07,Guinea,GIN,1927,71,11,0,Community transmission,0
2020-05-07,Cote d'Ivoire,CIV,1571,55,20,2,Clusters of cases,0
2020-05-07,Senegal,SEN,1492,59,13,1,Clusters of cases,0
2020-05-07,Democratic Republic of the Congo,COD,897,100,36,1,Clusters of cases,0
2020-05-07,Niger,NER,781,11,42,4,Clusters of cases,0
2020-05-07,Burkina Faso,BFA,736,7,48,0,Community transmission,0
2020-05-07,Mali,MLI,650,19,32,0,Clusters of cases,0
2020-05-07,Kenya,KEN,607,25,29,3,Clusters of cases,0
2020-05-07,United Republic of Tanzania,TZA,509,29,21,3,Clusters of cases,0
2020-05-07,Guinea-Bissau,GNB,508,0,2,0,Sporadic cases,1
2020-05-07,Gabon,GAB,504,107,8,2,Clusters of cases,0
2020-05-07,Equatorial Guinea,GNQ,439,0,4,0,Clusters of cases,2
2020-05-07,Mauritius,MUS,332,0,10,0,Community transmission,11
2020-05-07,Congo,COG,274,10,10,0,Clusters of cases,0
2020-05-07,Rwanda,RWA,271,3,0,0,Clusters of cases,0
2020-05-07,Chad,TCD,253,83,27,10,Sporadic cases,0
2020-05-07,Sierra Leone,SLE,231,6,14,0,Clusters of cases,0
2020-05-07,Cabo Verde,CPV,218,27,2,0,Sporadic cases,0
2020-05-07,Madagascar,MDG,193,0,0,0,Clusters of cases,1
2020-05-07,Ethiopia,ETH,191,29,4,0,Clusters of cases,0
2020-05-07,Liberia,LBR,189,11,20,0,Clusters of cases,0
2020-05-07,Sao Tome and Principe,STP,165,-9,4,1,Sporadic cases,0
2020-05-07,Eswatini,SWZ,153,30,2,0,Sporadic cases,0
2020-05-07,Zambia,ZMB,153,14,4,0,Sporadic cases,0
2020-05-07,Benin,BEN,140,38,2,0,Sporadic cases,0
2020-05-07,Togo,TGO,135,7,9,0,Clusters of cases,0
2020-05-07,Uganda,UGA,101,3,0,0,Sporadic cases,0
2020-05-07,Central African Republic,CAF,94,0,0,0,Sporadic cases,3
2020-05-07,South Sudan,SSD,90,32,0,0,Sporadic cases,0
2020-05-07,Mozambique,MOZ,81,0,0,0,Sporadic cases,1
2020-05-07,Malawi,MWI,43,0,3,0,Sporadic cases,1
2020-05-07,Eritrea,ERI,39,0,0,0,Sporadic cases,19
2020-05-07,Angola,AGO,36,0,2,0,Sporadic cases,2
2020-05-07,Zimbabwe,ZWE,34,0,4,0,Sporadic cases,6
2020-05-07,Botswana,BWA,23,0,1,0,Sporadic cases,9
2020-05-07,Burundi,BDI,19,0,1,0,Sporadic cases,5
2020-05-07,Gambia,GMB,18,1,1,0,Sporadic cases,0
2020-05-07,Namibia,NAM,16,0,0,0,Sporadic cases,32
2020-05-07,Seychelles,SYC,11,0,0,0,Sporadic cases,31
2020-05-07,Comoros,COM,8,0,1,0,Pending,1
2020-05-07,Mauritania,MRT,8,0,1,0,Sporadic cases,7
2020-05-07,Mayotte,MYT,854,115,10,1,Clusters of cases,0
2020-05-07,Reunion,REU,427,2,0,0,Clusters of cases,0
2020-05-07,United States of America,USA,1215571,22119,67146,1949,Community transmission,0
2020-05-07,Brazil,BRA,125218,10503,8536,615,Community transmission,0
2020-05-07,Canada,CAN,63895,1437,4280,169,Community transmission,0
2020-05-07,Peru,PER,54817,3628,1533,89,Community transmission,0
2020-05-07,Ecuador,ECU,30298,878,1654,36,Community transmission,0
2020-05-07,Mexico,MEX,27634,1609,2704,197,Community transmission,0
2020-05-07,Chile,CHL,24581,1533,285,4,Community transmission,0
2020-05-07,Dominican Republic,DOM,9095,288,373,11,Community transmission,0
2020-05-07,Colombia,COL,8959,346,397,19,Community transmission,0
2020-05-07,Panama,PAN,7731,208,218,8,Community transmission,0
2020-05-07,Argentina,ARG,5305,229,275,11,Community transmission,0
2020-05-07,Bolivia (Plurinational State of),BOL,1886,84,91,5,Clusters of cases,0
2020-05-07,Cuba,CUB,1729,26,73,4,Clusters of cases,0
2020-05-07,Honduras,HND,1461,191,99,6,Community transmission,0
2020-05-07,Guatemala,GTM,798,35,21,2,Clusters of cases,0
2020-05-07,Costa Rica,CRI,761,6,6,0,Clusters of cases,0
2020-05-07,El Salvador,SLV,695,62,15,1,Clusters of cases,0
2020-05-07,Uruguay,URY,673,3,17,0,Clusters of cases,0
2020-05-07,Jamaica,JAM,478,5,9,0,Clusters of cases,0
2020-05-07,Paraguay,PRY,462,22,10,0,Community transmission,0
2020-05-07,Venezuela (Bolivarian Republic of),VEN,379,12,10,0,Clusters of cases,0
2020-05-07,Trinidad and Tobago,TTO,116,0,8,0,Sporadic cases,10
2020-05-07,Haiti,HTI,108,7,12,0,Clusters of cases,0
2020-05-07,Guyana,GUY,93,0,10,0,Clusters of cases,1
2020-05-07,Bahamas,BHS,92,3,11,0,Clusters of cases,0
2020-05-07,Barbados,BRB,82,0,7,0,Clusters of cases,3
2020-05-07,Antigua and Barbuda,ATG,25,0,3,0,Clusters of cases,4
2020-05-07,Grenada,GRD,21,0,0,0,Clusters of cases,4
2020-05-07,Belize,BLZ,18,0,2,0,Sporadic cases,23
2020-05-07,Saint Lucia,LCA,18,0,0,0,Sporadic cases,3
2020-05-07,Saint Vincent and the Grenadines,VCT,17,0,0,0,Sporadic cases,3
2020-05-07,Dominica,DMA,16,0,0,0,Clusters of cases,27
2020-05-07,Nicaragua,NIC,16,0,5,0,Pending,1
2020-05-07,Saint Kitts and Nevis,KNA,15,0,0,0,Sporadic cases,17
2020-05-07,Suriname,SUR,10,0,1,0,Sporadic cases,34
2020-05-07,Puerto Rico,PRI,2031,63,56,0,Clusters of cases,0
2020-05-07,Martinique,MTQ,182,0,14,0,Clusters of cases,1
2020-05-07,Guadeloupe,GLP,153,0,13,0,Clusters of cases,1
2020-05-07,French Guiana,GUF,138,0,1,0,Clusters of cases,1
2020-05-07,Bermuda,BMU,118,3,7,0,Clusters of cases,0
2020-05-07,Aruba,ABW,101,0,2,0,Clusters of cases,2
2020-05-07,Cayman Islands,CYM,78,0,1,0,Clusters of cases,1
2020-05-07,Sint Maarten,SXM,76,0,14,0,Clusters of cases,7
2020-05-07,United States Virgin Islands,VIR,66,0,4,0,Clusters of cases,7
2020-05-07,Saint Martin,MAF,38,0,3,0,Sporadic cases,15
2020-05-07,Curaçao,CUW,16,0,1,0,Sporadic cases,10
2020-05-07,Falkland Islands (Malvinas),FLK,13,0,0,0,Clusters of cases,12
2020-05-07,Turks and Caicos Islands,TCA,12,0,1,0,Sporadic cases,10
2020-05-07,Montserrat,MSR,11,0,1,0,Sporadic cases,24
2020-05-07,British Virgin Islands,VGB,7,0,1,0,Sporadic cases,2
2020-05-07,Bonaire Sint Eustatius and Saba,BES,6,0,0,0,Sporadic cases,10
2020-05-07,Saint Barthelemy,BLM,6,0,0,0,Sporadic cases,38
2020-05-07,Anguilla,AIA,3,0,0,0,Sporadic cases,34
2020-05-07,Saint Pierre and Miquelon,SPM,1,0,0,0,Sporadic cases,30
2020-05-07,Iran (Islamic Republic of),IRN,103135,1485,6486,68,Community transmission,0
2020-05-07,Saudi Arabia,SAU,33731,1793,219,10,Clusters of cases,0
