Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-06-04,South Africa,ZAF,40792,3267,848,56,Community transmission,0
2020-06-04,Nigeria,NGA,11516,350,323,8,Community transmission,0
2020-06-04,Algeria,DZA,9831,98,681,8,Community transmission,0
2020-06-04,Ghana,GHA,8885,337,38,0,Community transmission,0
2020-06-04,Cameroon,CMR,6789,37,203,3,Community transmission,0
2020-06-04,Senegal,SEN,4021,89,45,0,Community transmission,0
2020-06-04,Guinea,GIN,3991,58,23,0,Community transmission,0
2020-06-04,Democratic Republic of the Congo,COD,3643,149,77,3,Community transmission,0
2020-06-04,Cote d'Ivoire,CIV,3262,152,35,0,Community transmission,0
2020-06-04,Gabon,GAB,2955,53,21,1,Community transmission,0
2020-06-04,Kenya,KEN,2340,124,78,4,Community transmission,0
2020-06-04,Ethiopia,ETH,1636,150,18,1,Clusters of cases,0
2020-06-04,Mali,MLI,1461,75,85,6,Community transmission,0
2020-06-04,Guinea-Bissau,GNB,1346,0,9,0,Community transmission,1
2020-06-04,South Sudan,SSD,1317,0,14,0,Clusters of cases,1
2020-06-04,Central African Republic,CAF,1288,99,4,0,Clusters of cases,0
2020-06-04,Zambia,ZMB,1111,22,7,0,Community transmission,0
2020-06-04,Equatorial Guinea,GNQ,1043,0,12,0,Community transmission,12
2020-06-04,Niger,NER,963,2,65,0,Community transmission,0
2020-06-04,Madagascar,MDG,957,49,7,1,Clusters of cases,0
2020-06-04,Sierra Leone,SLE,914,5,47,0,Community transmission,0
2020-06-04,Burkina Faso,BFA,885,1,53,0,Community transmission,0
2020-06-04,Chad,TCD,828,8,66,0,Community transmission,0
2020-06-04,Mauritania,MRT,784,116,39,8,Clusters of cases,0
2020-06-04,Uganda,UGA,651,15,0,0,Sporadic cases,0
2020-06-04,Congo,COG,635,3,20,0,Community transmission,0
2020-06-04,United Republic of Tanzania,TZA,509,0,21,0,Community transmission,28
2020-06-04,Cabo Verde,CPV,502,25,5,0,Clusters of cases,0
2020-06-04,Togo,TGO,465,13,13,0,Community transmission,0
2020-06-04,Rwanda,RWA,410,13,2,0,Sporadic cases,0
2020-06-04,Malawi,MWI,393,24,4,0,Clusters of cases,0
2020-06-04,Mozambique,MOZ,352,36,2,0,Clusters of cases,0
2020-06-04,Mauritius,MUS,335,0,10,0,Clusters of cases,6
2020-06-04,Liberia,LBR,321,5,28,0,Community transmission,0
2020-06-04,Eswatini,SWZ,300,5,3,0,Clusters of cases,0
2020-06-04,Sao Tome and Principe,STP,295,0,10,0,Clusters of cases,9
2020-06-04,Benin,BEN,261,17,3,0,Community transmission,0
2020-06-04,Zimbabwe,ZWE,222,0,4,0,Sporadic cases,1
2020-06-04,Angola,AGO,86,0,4,0,Clusters of cases,4
2020-06-04,Burundi,BDI,63,0,1,0,Clusters of cases,4
2020-06-04,Comoros,COM,62,0,2,0,Community transmission,4
2020-06-04,Eritrea,ERI,41,2,0,0,Sporadic cases,0
