ate,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-07-30,South Africa,ZAF,482169,11046,7812,315,Community transmission,0
2020-07-30,Nigeria,NGA,42689,481,878,5,Community transmission,0
2020-07-30,Ghana,GHA,35142,0,175,0,Community transmission,1
2020-07-30,Algeria,DZA,29831,602,1200,14,Community transmission,0
2020-07-30,Kenya,KEN,19913,788,325,14,Community transmission,0
2020-07-30,Cameroon,CMR,17255,0,391,0,Community transmission,1
2020-07-30,Ethiopia,ETH,16615,805,263,10,Community transmission,0
2020-07-30,Cote d'Ivoire,CIV,15978,265,100,2,Community transmission,0
2020-07-30,Madagascar,MDG,10748,431,105,6,Community transmission,0
2020-07-30,Senegal,SEN,10106,145,204,4,Community transmission,0
2020-07-30,Democratic Republic of the Congo,COD,9009,79,214,2,Community transmission,0
2020-07-30,Gabon,GAB,7352,0,49,0,Community transmission,1
2020-07-30,Guinea,GIN,7242,59,46,0,Community transmission,0
2020-07-30,Mauritania,MRT,6270,0,156,0,Community transmission,1
2020-07-30,Zambia,ZMB,5555,306,149,3,Community transmission,0
2020-07-30,Central African Republic,CAF,4605,0,59,0,Community transmission,1
2020-07-30,Malawi,MWI,3981,123,109,2,Community transmission,0
2020-07-30,Congo,COG,3376,176,56,2,Community transmission,0
2020-07-30,Zimbabwe,ZWE,3092,213,53,12,Clusters of cases,0
2020-07-30,Eswatini,SWZ,2577,26,40,0,Community transmission,0
2020-07-30,Mali,MLI,2522,1,124,0,Community transmission,0
2020-07-30,Cabo Verde,CPV,2418,45,23,0,Clusters of cases,0
2020-07-30,Equatorial Guinea,GNQ,2350,0,41,0,Community transmission,14
2020-07-30,South Sudan,SSD,2322,0,46,0,Community transmission,2
2020-07-30,Namibia,NAM,2052,66,10,1,Clusters of cases,0
2020-07-30,Rwanda,RWA,1994,31,5,0,Clusters of cases,0
2020-07-30,Guinea-Bissau,GNB,1981,0,26,0,Community transmission,1
2020-07-30,Sierra Leone,SLE,1818,15,67,0,Community transmission,0
2020-07-30,Mozambique,MOZ,1808,60,11,0,Community transmission,0
2020-07-30,Benin,BEN,1805,0,36,0,Community transmission,2
2020-07-30,Liberia,LBR,1181,2,73,1,Community transmission,0
2020-07-30,Uganda,UGA,1147,12,2,0,Clusters of cases,0
2020-07-30,Niger,NER,1134,0,69,0,Community transmission,1
2020-07-30,Burkina Faso,BFA,1117,11,53,0,Community transmission,0
2020-07-30,Angola,AGO,1109,31,51,3,Clusters of cases,0
2020-07-30,Chad,TCD,935,9,75,0,Community transmission,0
2020-07-30,Togo,TGO,908,12,18,0,Community transmission,0
2020-07-30,Sao Tome and Principe,STP,870,2,15,0,Clusters of cases,0
2020-07-30,Botswana,BWA,804,0,2,0,Clusters of cases,1
2020-07-30,Lesotho,LSO,604,28,13,0,Clusters of cases,0
2020-07-30,United Republic of Tanzania,TZA,509,0,21,0,Community transmission,84
2020-07-30,Gambia,GMB,403,77,8,0,Sporadic cases,0
2020-07-30,Burundi,BDI,387,9,1,0,Clusters of cases,0
2020-07-30,Comoros,COM,382,4,7,0,Community transmission,0
2020-07-30,Mauritius,MUS,344,0,10,0,Sporadic cases,6
2020-07-30,Eritrea,ERI,279,14,0,0,Sporadic cases,0
2020-07-30,Seychelles,SYC,114,0,0,0,Sporadic cases,3
2020-07-30,Mayotte,MYT,2962,57,39,0,Clusters of cases,0
2020-07-30,Reunion,REU,657,0,4,0,Clusters of cases,5
2020-07-30,United States of America,USA,4388566,65406,150054,1414,Community transmission,0
2020-07-30,Brazil,BRA,2552265,69074,90134,1595,Community transmission,0
2020-07-30,Mexico,MEX,408449,5752,45361,485,Community transmission,0
